cid	size	cluster
Manipulation	80	kiss.v,pull.n,sip.v,fumble.v,target.v,sup.v,lick.v,grab hold.v,ingest.v,grope.v,stroke.n,target.n,direct.v,rub.v,wring.v,put away.v,squeeze.v,tweak.v,yank.v,gulp.n,touch.v,breakfast.v,sip.n,swig.n,lunch.v,caress.v,put back.v,snack.v,nurse.v,nibble.v,pinch.v,hold.v,consume.v,poke.v,have.v,devour.v,kiss.n,ingestion.n,tickle.v,tuck.v,slurp.v,drink.v,diddle.v,nosh.v,caress.n,handle.v,aim.n,swig.v,aim.v,knead.v,stroke.v,lap.v,guzzle.v,clasp.v,dine.v,claw.v,gobble.v,finger.v,seize.v,grab.v,grasp.v,tug.v,feed.v,nudge.v,eat.v,clutch.v,imbibe.v,quaff.v,swill.v,massage.v,nip.v,gulp.v,munch.v,pull.v,feast.v,slurp.n,grip.v,down.v,paw.v,push.v
Seeking	20	look.v,manhunt.n,listen.v,fumble.v,seek.v,forage.v,dig.v,pan.v,watch.v,palpate.v,sniff.v,pat down.v,feel.v,shopping.n,search.v,hunt.v,nose.v,shop.v,grope.v,rummage.v
Activity_start	14	start.v,neophyte.n,take up.v,strike up.v,enter.v,initiate.v,commence.v,beginner.n,begin.v,open.v,swing (into).v,launch (into).v,set about.v,get started.v
Erasing	5	expunge.v,delete.v,strike.v,kill.v,erase.v
Planned_trajectory	1	way.n
People_by_residence	3	neighbor.n,housemate.n,roommate.n
Food	71	sweet.n,date.n,cookie.n,biscuit.n,croissant.n,beer.n,pastry.n,cheesecake.n,cabbage.n,chocolate.n,lamb.n,cake.n,banana.n,roll.n,MRE.n,carrot.n,potato.n,cracker.n,sweetener.n,pea.n,veal.n,pancake.n,meat.n,beef.n,vegetable.n,fruit.n,turkey.n,fish.n,egg.n,poultry.n,salmon.n,shellfish.n,tuna.n,milk.n,bread.n,lobster.n,sugar.n,cheese.n,shrimp.n,chicken.n,fat.n,oil.n,almond.n,pasta.n,honey.n,berry.n,vinegar.n,nut.n,juice.n,peanut.n,stew.n,herb.n,soup.n,apple.n,noodle.n,coffee.n,pepper.n,sauce.n,cereal.n,vinaigrette.n,basil.n,dressing.n,lettuce.n,ketchup.n,spice.n,water.n,butter.n,mayonnaise.n,lasagne.n,food.n,tea.n
Aesthetics	9	ugly.a,smart.a,beautiful.a,hideous.a,lovely.a,tasty.a,handsome.a,fair.a,elegant.a
Social_event_individuals	1	go out with.v
Manipulate_into_shape	11	coil.v,knot.v,loop.v,wind.v,roll (into).v,tangle.v,curl.v,twist.v,tie.v,braid.v,mold.v
Quitting	9	retirement.n,give notice.idio,leave.v,step down.v,stand down.v,quit.v,resignation.n,retire.v,resign.v
Desirability	106	decent.a,okay.a,popular.a,mediocre.a,unfortunate.a,poor.a,second-rate.a,elegant.a,upper-class.a,atrocious.a,fantastic.a,third-rate.a,in.a,appalling.a,idyllic.a,vulgar.a,miserable.a,in demand.a,average.a,astounding.a,fine.a,working-class.a,hot.a,standout.n,nasty.a,fair.a,shit.n,terrific.a,great.a,well.adv,so-so.a,humble.a,pedestrian.a,gem.n,tolerable.a,wonderful.a,shitty.a,ought to.v,astonishing.a,stupendous.a,garbage.n,low.a,sensational.a,gold.n,killer.a,be supposed to.v,common.a,awesome.a,inferior.a,amazing.a,substandard.a,good idea.n,proletarian.a,crap.n,tip-top.a,excellent.a,magnificent.a,top-notch.a,cool.a,superlative.a,junk.n,incredible.a,first-rate.a,best thing since sliced bread.n,terrible.a,crappy.a,tremendous.a,worthless.a,popular.a,execrable.a,pathetic.a,rock.v,tasty.a,rotten.a,extraordinary.a,have to.v,plebeian.a,awful.a,lamer.n,splendid.a,lame.a,pitiful.a,uncool.a,smart.a,fabulous.a,dreadful.a,excellence.n,desirable.a,marvellous.a,outstanding.a,good.a,suck.v,ugly.a,fair.a,beautiful.a,hideous.a,superb.a,lovely.a,bad idea.n,super.a,handsome.a,should.v,cool.a,horrible.a,bad.a,sweet.a
Product_development	2	development.n,develop.v
Social_event_collective	1	date.n
Emergency	1	emergency.n
Symmetrical_collective_reciprocality	0	
Surviving	5	live [through].v,weather.v,survive.v,ride out.v,survival.n
Experimentation	9	control group.n,control.n,study.n,experiment.n,experiment.v,subject.n,treatment.n,test.v,hypothesis.n
Biological_entity	269	Denverite.n,leftist.n,Irish.n,ottoman.n,Dubliner.n,saint.n,Chicagoan.n,Persian.n,human.n,Greek.n,anesthesiologist.n,human being.n,Californian.n,Iranian.n,wrongdoer.n,Turk.n,italian.n,delinquent.n,physician.n,conservative.n,Indian [American].n,malefactor.n,bad apple.n,german.n,chap.n,evildoer.n,gerontologist.n,cat.n,toxicologist.n,chiropractor.n,double agent.n,Brit.n,pig.n,engineer.n,englishwoman.n,endocrinologist.n,American.n,spokesman.n,foreigner.n,life.n,homeopathist.n,spokesperson.n,representative.n,spokeswoman.n,Frenchwoman.n,English.n,cow.n,dog.n,pax.n,who.pron,neighbor.n,personage.n,immunologist.n,folk.n,Kraut.n,researcher.n,tree.n,waitress.n,sheep.n,Frenchy.n,somebody.n,gent.n,folks.n,dermatologist.n,actress.n,American [N and S Am].n,gastroenterologist.n,housemate.n,technician.n,neonatologist.n,someone.n,character.n,spy.n,dancer.n,agent.n,chef.n,reporter.n,tailor.n,veterinarian.n,attorney.n,teacher.n,therapist.n,scholar.n,programmer.n,combatant.n,businessperson.n,correspondent.n,architect.n,speculator.n,senator.n,oilman.n,cook.n,clerk.n,judge.n,singer.n,spokesman.n,driver.n,spring chicken.n,archaeologist.n,policeman.n,professional.a,flight attendant.n,journalist.n,web developer.n,hostile.n,server.n,ophthalmologist.n,painter.n,farmer.n,mechanic.n,bodyguard.n,mole.n,pilot.n,plain-clothes man.n,bartender.n,police officer.n,magistrate.n,sailor.n,police.n,coot.n,radiologist.n,soldier.n,fire fighter.n,service member.n,weed.n,consultant.n,athlete.n,radiation oncologist.n,marine.n,firefighter.n,airman.n,attendant.n,troop.n,lifeform.n,software developer.n,surgeon.n,life.n,geezer.n,saleswoman.n,cardiologist.n,homemaker.n,animal.n,Frenchman.n,manservant.n,sinner.n,linguist.n,New Yorker.n,mathematician.n,commando.n,psychiatrist.n,family practitioner.n,sociologist.n,left.n,fighter.n,anthropologist.n,physicist.n,player.n,chemist.n,biologist.n,psychologist.n,Mexican.n,officer.n,artist.n,doctor.n,spokeswoman.n,musician.n,gardener.n,spokesperson.n,writer.n,actor.n,neuroscientist.n,neurologist.n,politician.n,trader.n,actor.n,rheumatologist.n,obstetrician.n,producer.n,oncologist.n,belligerent.n,director.n,musician.n,orthopaedist.n,designer.n,pediatrician.n,gynaecologist.n,editor.n,proctologist.n,student.n,psychiatrist.n,salesperson.n,allergist.n,psychoanalyst.n,militant.n,servant.n,nephrologist.n,mormon.n,people.n,reprobate.n,christian.n,girl.n,un.n,fellow.n,manager.n,villain.n,zealot.n,far left.n,child.n,non-combatant.n,teenager.n,buddhist.n,parishioner.n,guerrilla.n,professor.n,citizenry.n,low life.n,national.n,civvie.n,citizen.n,faithful.n,youngster.n,actress.n,person.n,carpenter.n,man.n,subject.n,infidel.n,newborn.n,scientist.n,far-left.n,waiter.n,psychologist.n,guy.n,civilian.n,youth.n,pagan.n,speech therapist.n,organism.n,neonate.n,human.a,baptist.n,lawyer.n,lady.n,salesman.n,fink.n,gentleman.n,dude.n,kid.n,maid.n,muslim.n,woman.n,baby.n,receptionist.n,nurse.n,degenerate.n,adolescent.n,elderly.n,roommate.n,adult.n,jew.n,psychotherapist.n,infant.n,midwife.n,shaman.n,individual.n,urologist.n,miscreant.n,boy.n,private eye.n
Responsibility	3	responsible.a,responsibility.n,behind.prep
Provide_lodging	4	lodge.v,host.v,house.v,put up.v
Terrorism	9	bioterrorism.n,terrorist.n,ecoterrorist.n,terrorism.n,ecoterrorism [environmentalism].n,ecoterrorist [environmentalist].n,terror.n,ecoterrorism.n,bioterrorist.n
Performers	4	musician.n,actress.n,actor.n,player.n
Within_distance	1	within.prep
Being_detached	6	detached.a,unmoored.a,unfused.a,loose.a,unattached.a,disconnected.a
Part_inner_outer	18	interior.a,perimeter.n,interior.n,exterior.n,shell.n,inner.a,outside.n,inside.a,center.n,outer.a,skin.n,inside.n,central.a,lining.n,middle.n,exterior.a,outside.a,surface.n
Competition	9	competitive.a,rivalry.n,competition.n,competitor.n,play.v,rival.n,player.n,challenge.n,compete.v
Departing	48	desert.v,departure.n,get loose.v,emigrant.n,depart.v,emigration.n,set off.v,decamp.v,emigrate.v,disappearance.n,escape.n,sally.v,vacate.v,disappear.v,escapee.n,evacuation.n,vamoose.v,evacuate.v,split.v,skedaddle.v,set out.v,retreat.v,escape.v,get free.v,vanish.v,leave.v,exit.n,emerge.v,quit.v,withdraw.v,decamp.v,withdrawal.n,abandon.v,get out.v,vamoose.v,bolt.v,skedaddle.v,exit.v,exodus.n,scarper.v,defection.n,escape.v,bust out.v,fly the coop.v,defect.v,retreat.n,emigre.n,desertion.n
Point_of_dispute	3	question.n,issue.n,concern.n
Suicide_attack	6	kamikaze [attack].n,suicide bomber.n,kamikaze [person].n,suicide attack.n,suicide bombing.n,suicide attacker.n
Sharing	1	share.v
Protecting	14	shelter.v,cover.n,insulate.v,protection [event].n,shield.n,guard.v,shelter.n,secure.v,protection [entity].n,safeguard.v,shield.v,protect.v,safeguard.n,bulwark.n
Asymmetric_reciprocality	0	
Speed_description	12	fast.a,quick.a,rapid.a,pace.n,quickly.adv,breakneck.a,speedy.a,speed.n,smart.a,rate.n,rapidly.adv,speedily.adv
Wearing	48	wear.v,bare-breasted.a,gloveless.a,naked.a,bare-armed.a,unshod.a,nakedness.n,undressed.a,garbed.a,have on.v,have got on.v,coatless.a,gloved.a,nudity.n,unclad.a,hatted.a,sockless.a,barelegged.a,costumed.a,decked out.a,sport.v,clad.a,dressed.a,bare.a,braless.a,masked.a,bare.v,topless.a,robed.a,got on.v,barefooted.a,swaddled.a,swathed.a,attired.a,with on.idio,nude.a,hatless.a,shirtless.a,barefoot.a,unclothed.a,in.prep,dolled up.a,undress.n,bare-chested.a,hooded.a,clothed.a,bareheaded.a,shoeless.a
Grooming	23	shower.v,manicure.v,manicure.n,file.v,floss.v,brush [hair].v,pluck.v,cleanse.v,groom.v,lave.v,facial.n,soap.v,plait.v,shampoo.v,comb.v,ablution.n,bathe.v,wax.v,pedicure.n,wash.v,brush [teeth].v,moisturize.v,shave.v
Getting_scenario	0	
Imposing_obligation	8	obligate.v,pledge.v,require.v,charge.n,oblige.v,commit.v,bind.v,charge.v
Deception_scenario	0	
Businesses	14	firm.n,bank.n,store.n,establishment.n,chain.n,shop.n,operation.n,practice.n,mill.n,company.n,business.n,corporation.n,paper.n,boutique.n
Process_uncompleted_state	0	
People_by_age	16	kid.n,spring chicken.n,geezer.n,youth.n,baby.n,neonate.n,youngster.n,boy.n,adolescent.n,elderly.n,adult.n,coot.n,infant.n,newborn.n,teenager.n,child.n
Coming_to_believe	22	conclusion.n,deduce.v,guess.v,inference.n,ascertain.v,speculate.v,learn.v,see (through).v,surmise.v,conclude.v,figure out.v,realize.v,infer.v,find.v,deduction.n,work out.v,gather.v,strike.v,determine.v,guess.n,realization.n,puzzle out.v
Direction	16	south.n,west.adv,west.n,south.adv,outward.adv,down.adv,east.n,way.n,true north.n,up.adv,forward.adv,east.adv,north.adv,right.adv,north.n,left.adv
Prevarication	26	joke.v,deceive.v,prevarication.n,equivocation.n,bullshit artist.n,fib.n,misrepresentation.n,mislead.v,tell.v,pull the wool over (someone's) eyes.idio,deceptive.a,hoodwink.v,lie.v,deception.n,fib.v,misrepresent.v,equivocate.v,kid.v,dissemble.v,lie.n,bullshit.v,shit.v,dissembler.n,prevaricate.v,pull (someone's) leg.idio,fool.v
Regard	9	regard.v,appreciative.a,find.v,esteem.n,appreciate.v,impression.n,think.v,opinion.n,regard.n
Substance_by_phase	12	defrosted.a,gaseous.a,solidified.a,gas.n,solid.n,plasma.n,liquid.a,liquefied.a,liquid.n,melted.a,frozen.a,thawed.a
Intentionally_create	138	glue.v,replica.n,baking.n,produce.v,establishment.n,utter.v,weld.v,copy.n,write up.v,tie.v,jot.v,generate.v,type up.v,type out.v,originate.v,establish.v,take [picture].v,clone.v,pioneer.v,assembly.n,compose.v,invent.v,construction.n,product.n,speak.v,print.v,discover.v,fabricate.v,jot down.v,coin.v,piece together.v,manufacturing.n,coinage.n,build.v,frying.n,invention.n,discovery.n,manufacture.n,get down.v,discoverer.n,whip up.v,originator.n,make.v,cooking.n,inventor.n,bake.v,fix.v,pioneer.n,grill.v,pen.v,signature.n,pioneering.a,translation.n,find.v,put together.v,prepare.v,grilling.n,invention artifact.n,paint.v,write down.v,draft.v,duplication.n,make.v,fashion.v,photocopy.v,production.n,construct.v,fit together.v,production.n,producer.n,replicate.v,make.v,generation.n,signatory.n,draw.v,accede.v,write out.v,artist.n,duplicate.v,counterfeit.v,translate.v,sign.v,cast.v,forge.v,develop.v,write.v,print up.v,fake.v,assembly line.n,forgery [act].n,cook.v,roast.v,print out.v,dash off.v,sculpt.v,forgery [entity].n,roasting.n,fake.n,fry.v,set up.v,photocopy.n,create.v,found.v,synthesis.n,fabrication.n,erect.v,synthesise.v,list.v,construction [entity].n,duplicate.n,raise.v,make.v,write in.v,copy.v,manufacturer.n,development.n,type.v,reproduce.v,manufacture.v,say.v,concoct.v,industrial.a,sign.v,cook up.v,cook.n,assemble.v,preparation.n,produce.v,type in.v,chronicle.v,creation.n,run off.v,reduplicate.v,falsify.v,maker.n,clone.n,put together.v,author.v
Timetable	4	schedule.n,itinerary.n,timetable.n,agenda.n
Region_with_portal	0	
Measure_scenario	0	
Getting_up	2	get up.v,rise.v
Becoming_separated	3	divide.v,split.v,separate.v
Deny_or_grant_permission	22	clear.v,greenlight.v,sanction [allow].v,permit.v,the green light.n,suffer.v,prohibition.n,approve.v,disallow.v,the okay.n,the go-ahead.n,the go ahead.n,outlaw.v,prohibit.v,approval.n,mandate.n,restrict.v,forbid.v,okay.v,authorize.v,permission.n,leave.n
Hair_configuration	26	topknot.n,hairdo.n,braided.a,curly.a,wavy.a,styled.a,blonde.a,tress.n,pigtail.n,part.n,blond.a,braid.n,hairstyle.n,lock.n,ponytail.n,cut.a,cut.n,curl.n,haircut.n,plait.n,flaxen.a,cropped.a,golden.a,hair.n,curl.v,wave.n
Emotion_active	7	worry.v,agonize.v,lose sleep.v,fret.v,fuss.v,obsess.v,obsession.n
Patrolling	4	patrol [act].n,patrol [entity].n,police.v,patrol.v
Studying	1	study.v
Giving_scenario	0	
Quarreling	22	squabble.v,row.n,row.v,quarrel.n,wrangle.v,quibble.v,argument.n,altercation.n,wrangling.n,bickering.n,disagreement.n,bicker.v,wrangle.n,quarrel.v,dispute.n,fight.v,spat.n,squabble.n,tiff.n,disputation.n,argue.v,fight.n
Praiseworthiness	18	commendable.a,blameworthy.a,detestable.a,meritorious.a,admirable.a,pitiable.a,despicable.a,dishonorable.a,reprehensible.a,praiseworthy.a,honorable.a,estimable.a,laudable.a,abominable.a,execrable.a,creditable.a,deplorable.a,lamentable.a
Emotions_of_mental_activity	10	enjoy.v,groove.v,drudgery.n,pleasure.n,savour.v,luxuriate.v,delight (in).v,delight.n,enjoyment.n,relish.v
Sleep	25	slumber.v,out like a light.a,kip.n,snooze.v,kip.v,doze.v,sleep [quantity].n,drowse.v,forty winks.n,drowse.n,asleep.a,sleep.v,out.a,unconscious.a,nap.v,doze.n,catnap.n,slumber.n,nap.n,catnap.v,hibernate.v,hibernation.n,sleep [event].n,snooze.n,shut-eye.n
Being_pregnant	0	
Reforming_a_system	5	restructure.v,reform.v,overhaul.v,overhaul.n,reform.n
Domination	0	
Turning_out	3	end up.v,prove.v,turn out.v
Pre_giving	0	
Purpose	18	aim.v,intent.a,object.n,application.n,use.n,in order.adv,plan.n,mean.v,bent.a,target.n,plan.v,purpose.n,aim.n,determined.a,goal.n,objective.n,intend.v,intention.n
Employment_start	0	
Public_services	2	public service.n,service.n
Medical_professionals	37	surgeon.n,immunologist.n,cardiologist.n,gerontologist.n,nephrologist.n,allergist.n,psychologist.n,chiropractor.n,speech therapist.n,therapist.n,family practitioner.n,physician.n,endocrinologist.n,psychoanalyst.n,homeopathist.n,doctor.n,ophthalmologist.n,neurologist.n,nurse.n,rheumatologist.n,dermatologist.n,obstetrician.n,anesthesiologist.n,oncologist.n,orthopaedist.n,psychotherapist.n,pediatrician.n,radiologist.n,midwife.n,gastroenterologist.n,gynaecologist.n,shaman.n,proctologist.n,radiation oncologist.n,urologist.n,psychiatrist.n,neonatologist.n
Employee_scenario	0	
Arithmetic	3	function.n,equation.n,formula.n
Unattributed_information	11	proverbial.a,supposedly.adv,rumor.v,rumor.n,purportedly.adv,ostensible.a,reportedly.adv,alleged.a,purported.a,ostensibly.adv,allegedly.adv
Attempt_suasion	18	urge.v,wheedle.v,lobby.v,advocate.v,recommend.v,press.v,prevail.v,beg.v,cajole.v,pressure.v,advise.v,exhort.v,suggest.v,suggestion.n,admonish.v,enjoin.v,pressure.n,badger.v
