cid	size	cluster
Bringing	28	tote.v, truck.v, take.v, jet.v, airlift.v, drive.v, bear.v, lug.v, hump.v, fetch.v, wheel.v, paddle.v, convey.v, bus.v, carry.v, schlep.v, motor.v, ferry.v, cart.v, bike.v, row.v, haul.v, transport.v, get.v, bring.v, trundle.v, shuttle.v, fly.v
Quitting	6	quit.v, stand down.v, leave.v, retire.v, resign.v, step down.v
Occupy_rank	2	stand.v, rank.v
Reforming_a_system	3	restructure.v, reform.v, overhaul.v
Living_conditions	1	live.v
Contrition	2	repent.v, rue.v
Circumscribed_existence	2	appear.v, occur.v
Use_firearm	3	shoot.v, fire.v, discharge.v
Competition	2	compete.v, play.v
Objective_influence	3	affect.v, influence.v, impact.v
Endeavor_failure	6	go under.v, fold.v, collapse.v, fail.v, flop.v, go bust.v
Getting_vehicle_underway	6	cast off.v, weigh anchor.v, pull (out).v, take (off).v, launch.v, lift (off).v
Win_prize	1	win.v
Chatting	9	joke.v, yak.v, shoot the breeze.v, talk.v, speak.v, chat.v, converse.v, gab.v, gossip.v
Required_event	13	had better.v, best.v, oughta.v, must.v, need.v, be supposed (to).v, shall.v, hafta.v, better.v, got to.v, ought to.v, have to.v, gotta.v
Silencing	7	silence.v, shush.v, hush.v, quiet.v, hush up.v, quiet down.v, shut up.v
Intentionally_create	9	generate.v, set up.v, produce.v, found.v, develop.v, create.v, make.v, establish.v, synthesise.v
Cutting	9	fillet.v, chop.v, dice.v, cube.v, slice.v, mince.v, carve.v, cut.v, pare.v
Reserving	3	book.v, reserve.v, hold.v
Cause_emotion	5	affront.v, offend.v, insult.v, concern.v, call name.v
Commerce_sell	4	vend.v, retail.v, sell.v, auction.v
Be_in_agreement_on_action	1	strike.v
Conduct	6	act.v, conduct.v, misbehave.v, behave.v, carry oneself.v, act up.v
Memorization	3	learn.v, memorise.v, commit to memory.v
Activity_start	12	open.v, launch (into).v, start.v, strike up.v, initiate.v, begin.v, set about.v, swing (into).v, enter.v, take up.v, get started.v, commence.v
Gathering_up	8	gather.v, round up.v, amass.v, herd.v, collect.v, convene.v, bring together.v, assemble.v
Make_noise	105	laugh.v, crepitate.v, yowl.v, yodel.v, growl.v, yelp.v, gobble.v, yap.v, giggle.v, yammer.v, whistle.v, whisper.v, whinny.v, gasp.v, fizzle.v, whine.v, drone.v, whimper.v, wail.v, ululate.v, crunch.v, croon.v, twitter.v, croak.v, tweet.v, trumpet.v, toll.v, creak.v, titter.v, cough.v, tinkle.v, coo.v, thunder.v, thump.v, click.v, squeal.v, clatter.v, squeak.v, clash.v, squawk.v, sough.v, clang.v, chuckle.v, sob.v, chirp.v, snort.v, snore.v, cheep.v, snigger.v, chatter.v, snicker.v, caw.v, snarl.v, caterwaul.v, cackle.v, sizzle.v, burble.v, scrunch.v, screech.v, scrape.v, bray.v, rustle.v, bleat.v, roar.v, blast.v, blare.v, bellow.v, rattle.v, babble.v, rasp.v, quack.v, bark.v, purr.v, plop.v, plonk.v, plash.v, peep.v, peal.v, patter.v, toot.v, neigh.v, play.v, moo.v, moan.v, honk.v, mewl.v, sound.v, mew.v, cry.v, keen.v, hum.v, howl.v, boom.v, hoot.v, hem and haw.v, hiss.v, beep.v, hawk.v, ring.v, scream.v, sploosh.v, gurgle.v, clack.v, guffaw.v, grunt.v
Colonization	5	settle.v, repopulate.v, people.v, populate.v, colonize.v
Atonement	2	atone.v, expiate.v
Assistance	9	help out.v, aid.v, assist.v, serve.v, succor.v, aid and abet.v, cater.v, abet.v, help.v
Cause_to_move_in_place	16	spin.v, juggle.v, wiggle.v, vibrate.v, turn.v, squeeze.v, swirl.v, roll.v, rock.v, seesaw.v, swing.v, shake.v, jiggle.v, rotate.v, wave.v, twirl.v
Losing	2	lose.v, misplace.v
Pardon	1	pardon.v
Exporting	1	export.v
Hiding_objects	7	conceal.v, block.v, cover.v, shroud.v, camouflage.v, mask.v, hide.v
Taking_sides	6	support.v, side.v, back.v, believe (in).v, endorse.v, oppose.v
Emitting	10	discharge.v, secrete.v, exude.v, radiate.v, excrete.v, exhale.v, emit.v, void.v, emanate.v, give off.v
Halt	2	stop.v, halt.v
Ceasing_to_be	6	go away.v, fade.v, disappear.v, vanish.v, dissolve.v, dissipate.v
Finish_competition	5	fold.v, tie.v, lose.v, win.v, show.v
Provide_lodging	4	house.v, put up.v, host.v, lodge.v
Surpassing	8	outdo.v, pale.v, outstrip.v, outshine.v, surpass.v, eclipse.v, better.v, exceed.v
Come_down_with	5	contract.v, come down (with).v, acquire.v, catch.v, get.v
Making_faces	7	pout.v, grin.v, smirk.v, frown.v, grimace.v, smile.v, scowl.v
Amassing	4	stockpile.v, amass.v, hoard.v, accumulate.v
Closure	15	unscrew.v, seal.v, tie.v, unfasten.v, close.v, uncork.v, open.v, zip.v, cap.v, fasten.v, buckle.v, lace.v, unzip.v, button.v, unbuckle.v
Motion	23	weave.v, slide.v, come.v, zigzag.v, circle.v, undulate.v, meander.v, coast.v, wind.v, travel.v, swerve.v, swing.v, spiral.v, roll.v, float.v, fly.v, glide.v, blow.v, go.v, soar.v, snake.v, drift.v, move.v
Forgiveness	4	pardon.v, condone.v, forgive.v, excuse.v
Causation	22	cause.v, leave.v, mean.v, render.v, wreak.v, result (in).v, bring on.v, bring.v, dictate.v, sway.v, force.v, make.v, precipitate.v, lead (to).v, send.v, raise.v, motivate.v, bring about.v, induce.v, put.v, see.v, give rise.v
Mention	2	touch (on).v, mention.v
Capacity	6	feed.v, fit.v, sleep.v, take.v, serve.v, seat.v
Operational_testing	5	flight-test.v, crash-test.v, test.v, try out.v, flight test.v
Separating	10	bisect.v, divide.v, split.v, separate.v, segregate.v, segment.v, section.v, partition.v, sever.v, part.v
Adding_up	3	tally.v, total.v, add up.v
Extradition	1	extradite.v
Burying	1	bury.v
Operate_vehicle	24	ride.v, drive.v, cruise.v, toboggan.v, taxi.v, tack.v, sledge.v, skate.v, row.v, raft.v, punt.v, pedal.v, parachute.v, paddle.v, balloon.v, motor.v, cycle.v, caravan.v, canoe.v, boat.v, bike.v, bicycle.v, fly.v, sail.v
Arriving	15	arrive.v, crest.v, visit.v, return.v, find.v, descend (on).v, appear.v, approach.v, make it.v, hit.v, come.v, get.v, enter.v, make.v, reach.v
Cause_to_be_wet	12	dampen.v, moisten.v, douse.v, sop.v, humidify.v, soak.v, hydrate.v, wet.v, souse.v, saturate.v, drench.v, moisturize.v
Research	2	research.v, investigate.v
Remainder	1	remain.v
Submitting_documents	4	submit.v, hand in.v, turn in.v, file.v
Misdeed	2	transgress.v, sin.v
Seeking_to_achieve	2	seek.v, pursue.v
Attaching	52	moor.v, cinch.v, agglutinate.v, solder.v, shackle.v, weld.v, fetter.v, fix.v, tack.v, bracket.v, staple.v, wire.v, stick.v, glue.v, mount.v, join.v, fasten.v, chain.v, connect.v, truss.v, paste.v, tether.v, lash.v, cement.v, link.v, yoke.v, tack on.v, sew.v, concatenate.v, handcuff.v, append.v, bond.v, adhere.v, gum.v, strap.v, fuse.v, pin.v, secure.v, tie.v, nail.v, rivet.v, plaster.v, hook.v, tape.v, untie.v, detach.v, manacle.v, hitch.v, bind.v, attach.v, affix.v, anchor.v
Institutionalization	4	commit.v, institutionalize.v, hospitalize.v, admit.v
Precipitation	7	rain.v, sleet.v, hail.v, shower.v, drizzle.v, sprinkle.v, snow.v
Reference_text	4	refer.v, qv.v, cf.v, see.v
Punctual_perception	2	glimpse.v, get an eyeful.v
Taking	4	take.v, grab.v, seize.v, commandeer.v
Expensiveness	2	set back.v, cost.v
Cause_to_be_included	2	include.v, add.v
Manner_of_life	1	live.v
Waking_up	7	come to.v, come back around.v, wake.v, get up.v, revive.v, wake up.v, awake.v
Duration_relation	2	persist.v, last.v
Cause_temperature_change	10	cool down.v, warm.v, heat up.v, refrigerate.v, cool.v, chill.v, heat.v, reheat.v, warm up.v, overheat.v
Cause_bodily_experience	7	hurt.v, chafe.v, itch.v, scratch.v, massage.v, rub.v, tickle.v
Breaking_out_captive	2	free.v, break out.v
Coming_to_be	12	form.v, appear.v, take shape.v, coalesce.v, come into existence.v, come to be.v, emerge.v, develop.v, materialize.v, evolve.v, arise.v, spring up.v
Contingency	7	hinge.v, depends.v, turn.v, determine.v, dictate.v, depend.v, hang (on).v
Placing	66	insert.v, shower.v, inject.v, cram.v, billet.v, implant.v, rub.v, bag.v, wrap.v, tuck.v, immerse.v, jam.v, stuff.v, heap.v, stow.v, dust.v, lay.v, stash.v, brush.v, stand.v, drape.v, smear.v, dab.v, situate.v, deposit.v, set.v, rest.v, gag.v, drizzle.v, daub.v, enclose.v, sit.v, position.v, emplace.v, plant.v, arrange.v, perch.v, hang.v, stable.v, shelve.v, plunge.v, place.v, package.v, pocket.v, embed.v, pile.v, put.v, park.v, garage.v, file.v, bestow.v, pack.v, stick.v, crate.v, lodge.v, shoulder.v, cage.v, load.v, box.v, warehouse.v, archive.v, lean.v, sheathe.v, bottle.v, pot.v, bin.v
Success_or_failure	7	fail.v, miss.v, pull off.v, manage.v, ace.v, succeed.v, get there.v
Body_movement	61	scrunch.v, wink.v, crumple.v, flex.v, wiggle.v, flap.v, wave.v, drop.v, crinkle.v, waggle.v, stamp.v, wag.v, twiddle.v, cross.v, twitch.v, crane.v, toss.v, cock.v, shut.v, clap.v, close.v, throw.v, bob.v, open.v, swing.v, blink.v, stretch.v, bend.v, shuffle.v, arch.v, smack.v, shrug.v, crease.v, shake.v, duck.v, roll.v, curtsy.v, purse.v, shiver.v, pucker.v, jiggle.v, pout.v, yawn.v, nod.v, bat.v, fidget.v, lift.v, shudder.v, jerk.v, fling.v, wriggle.v, hang.v, writhe.v, grind.v, reach.v, kneel.v, twist.v, gnash.v, flutter.v, wrinkle.v, move.v
Escaping	8	bust out.v, get out.v, fly the coop.v, escape.v, scarper.v, get free.v, get loose.v, evacuate.v
Distinctiveness	1	characterize.v
Process_resume	2	resume.v, restart.v
Criminal_investigation	3	probe.v, investigate.v, inquire.v
Withdraw_from_participation	3	beg off.v, withdraw.v, pull out.v
Warning	2	forewarn.v, warn.v
Adjacency	4	adjoin.v, border.v, neighbor.v, abut.v
Absorb_heat	25	broil.v, braise.v, blanch.v, barbecue.v, singe.v, sear.v, scorch.v, bake.v, toast.v, steam.v, sizzle.v, saute.v, boil.v, roast.v, parboil.v, cook.v, fry.v, poach.v, simmer.v, grill.v, stew.v, deep fry.v, coddle.v, char.v, brown.v
Forgoing	7	forbear.v, go without.v, do without.v, abstain.v, forgo.v, skip.v, refrain.v
Existence	3	exist.v, remain.v, there be.v
Disembarking	8	alight.v, dismount.v, get.v, detrain.v, deplane.v, debark.v, disembark.v, debus.v
Losing_it	6	blow cool.v, go apeshit.v, go ballistic.v, flip out.v, lose it.v, freak out.v
Dressing	8	don.v, put on.v, throw on.v, dress up.v, dress.v, slip on.v, pull on.v, get on.v
Legal_rulings	5	adjudicate.v, judge.v, rule.v, decree.v, deem.v
Process_end	7	end.v, draw to a close.v, come to a end.v, come to a close.v, pass.v, conclude.v, draw to a end.v
Rewards_and_punishments	4	discipline.v, punish.v, recompense.v, reward.v
Attention	3	ignore.v, keep an eye.v, attend.v
Be_in_agreement_on_assessment	3	see eye to eye.v, agree.v, concur.v
Being_operational	1	work.v
Meet_with_response	1	meet.v
Memory	5	recollect.v, recall.v, remember.v, bethink oneself.v, retain.v
Protecting	7	shield.v, guard.v, safeguard.v, insulate.v, secure.v, protect.v, shelter.v
Manufacturing	4	produce.v, fabricate.v, manufacture.v, make.v
Fluidic_motion	28	spill.v, spray.v, run.v, rush.v, soak.v, jet.v, stream.v, seep.v, squirt.v, splatter.v, splash.v, spout.v, spew.v, course.v, cascade.v, hiss.v, dribble.v, gush.v, trickle.v, spurt.v, bubble.v, leak.v, flow.v, percolate.v, purl.v, ooze.v, pump.v, drip.v
Redirecting	3	divert.v, detour.v, redirect.v
Expansion	11	stretch.v, grow.v, inflate.v, contract.v, swell.v, dilate.v, expand.v, spread.v, lengthen.v, enlarge.v, shrink.v
Manipulate_into_shape	7	curl.v, wind.v, loop.v, twist.v, coil.v, roll (into).v, mold.v
Certainty	4	doubt.v, believe.v, know.v, trust.v
Bond_maturation	2	endow.v, mature.v
Leadership	11	govern.v, spearhead.v, preside.v, head.v, administer.v, run.v, rule.v, lead.v, command.v, reign.v, chair.v
Activity_ongoing	7	maintain.v, continue.v, proceed.v, carry on.v, keep on.v, keep up.v, keep.v
Change_operational_state	9	cut off.v, deactivate.v, activate.v, cut.v, kill.v, turn off.v, shut off.v, turn on.v, boot.v
Besieging	4	siege.v, besiege.v, invest.v, beleaguer.v
Emotion_active	6	fuss.v, lose sleep.v, agonize.v, worry.v, fret.v, obsess.v
Have_associated	2	have.v, have got.v
Posing_as	3	impersonate.v, pose.v, masquerade.v
Scrutiny	30	double-check.v, comb.v, spy out the land.v, sift.v, scour.v, go [through].v, skim.v, monitor.v, explore.v, reconnoitre.v, ransack.v, peruse.v, eyeball.v, analyse.v, scan.v, scrutinize.v, frisk.v, probe.v, rummage.v, pry.v, study.v, rifle.v, look.v, scout.v, investigate.v, search.v, assay.v, check.v, survey.v, sweep.v
Moving_in_place	13	swing.v, flop.v, turn.v, wave.v, judder.v, roll.v, quiver.v, vibrate.v, shake.v, twirl.v, spin.v, rotate.v, rock.v
Commerce_buy	2	purchase.v, buy.v
Practice	3	practice.v, rehearse.v, run (through).v
Participation	3	engage.v, take part.v, participate.v
Losing_someone	1	lose.v
Categorization	24	translate.v, categorize.v, perceive.v, understand.v, view.v, see.v, consider.v, typecast.v, regard.v, bracket.v, classify.v, render.v, stereotype.v, read.v, define.v, deem.v, conceive.v, peg.v, class.v, construe.v, identify.v, interpret.v, pigeonhole.v, count.v
Delimitation_of_diversity	1	range.v
Deserving	5	merit.v, warrant.v, deserve.v, call.v, justify.v
Quarreling	8	fight.v, bicker.v, row.v, argue.v, wrangle.v, quibble.v, quarrel.v, squabble.v
Explosion	4	explode.v, blow.v, blow up.v, detonate.v
Agriculture	2	cultivate.v, farm.v
Cause_harm	69	impale.v, maim.v, bludgeon.v, injure.v, gash.v, fracture.v, flog.v, cuff.v, slice.v, torture.v, cudgel.v, beat up.v, crack.v, clout.v, electrocute.v, claw.v, pummel.v, chop.v, wound.v, cut.v, knee.v, crush.v, butt.v, hammer.v, slap.v, break.v, squash.v, batter.v, smack.v, burn.v, whip.v, run through.v, horsewhip.v, hurt.v, club.v, buffet.v, stone.v, belt.v, spear.v, twist.v, bash.v, stab.v, drug.v, beat.v, thwack.v, smash.v, strike.v, punch.v, swipe.v, knife.v, sting.v, kick.v, boil.v, elbow.v, pelt.v, bayonet.v, mutilate.v, maul.v, welt.v, lash.v, transfix.v, hit.v, poison.v, flagellate.v, knock.v, cane.v, bruise.v, jab.v, biff.v
Forging	4	fake.v, counterfeit.v, forge.v, falsify.v
Becoming_detached	4	detach.v, unhook.v, decouple.v, unhinge.v
Confronting_problem	2	confront.v, face.v
Achieving_first	6	coin.v, find.v, discover.v, pioneer.v, invent.v, originate.v
Sleep	9	slumber.v, sleep.v, hibernate.v, snooze.v, kip.v, doze.v, drowse.v, catnap.v, nap.v
Experiencer_obj	132	gall.v, frustrate.v, let down.v, frighten.v, fascinate.v, excite.v, kill.v, wound.v, exasperate.v, enthrall.v, encourage.v, entertain.v, agonize.v, enrage.v, demolish.v, enchant.v, destroy.v, embarrass.v, stagger.v, engage.v, disturb.v, harass.v, distress.v, displease.v, worry.v, appeal.v, dishearten.v, grate.v, discourage.v, arouse.v, disconcert.v, devastate.v, discomfit.v, crush.v, disappoint.v, fulfill.v, depress.v, boggle.v, delight.v, dazzle.v, console.v, outrage.v, flummox.v, fluster.v, stir.v, confuse.v, perturb.v, conciliate.v, comfort.v, mystify.v, cheer.v, intimidate.v, charm.v, offend.v, captivate.v, calm.v, bewitch.v, intrigue.v, bewilder.v, interest.v, traumatize.v, baffle.v, astound.v, astonish.v, beguile.v, antagonize.v, torment.v, annoy.v, repel.v, anger.v, amaze.v, aggrieve.v, sober.v, alarm.v, revolt.v, petrify.v, incense.v, madden.v, mortify.v, nonplus.v, rankle.v, floor.v, flabbergast.v, embitter.v, faze.v, exhilarate.v, aggravate.v, abash.v, nettle.v, solace.v, sting.v, trouble.v, tickle.v, stupefy.v, sicken.v, vex.v, wow.v, bore.v, upset.v, unsettle.v, unnerve.v, thrill.v, terrify.v, surprise.v, stun.v, stimulate.v, startle.v, spook.v, soothe.v, shock.v, shame.v, shake.v, scare.v, satisfy.v, sadden.v, rile.v, reassure.v, rattle.v, puzzle.v, please.v, placate.v, perplex.v, pacify.v, mollify.v, irritate.v, irk.v, infuriate.v, impress.v, humiliate.v, hearten.v, gratify.v, gladden.v
Sign_agreement	2	accede.v, sign.v
Replacing	6	change.v, swap out.v, exchange.v, switch.v, substitute.v, replace.v
Change_of_leadership	15	take over.v, revolt.v, elect.v, mutiny.v, topple.v, coronate.v, throne.v, enthrone.v, vest.v, crown.v, install.v, depose.v, overthrow.v, dethrone.v, oust.v
Coincidence	2	happen.v, chance.v
Medical_intervention	7	attempt.v, consist.v, treat.v, develop.v, prevent.v, indicate.v, result.v
Appeal	1	appeal.v
Create_representation	6	carve.v, paint.v, cast.v, photograph.v, sketch.v, draw.v
Change_resistance	3	bulwark.v, buttress.v, brace.v
Take_place_of	5	replace.v, succeed.v, do duty.v, substitute.v, take place.v
Motion_noise	38	clunk.v, hiss.v, patter.v, bang.v, zing.v, howl.v, whir.v, gurgle.v, whine.v, fizz.v, wheeze.v, crunch.v, thunder.v, creak.v, clink.v, thump.v, crash.v, thud.v, crackle.v, swish.v, clack.v, squelch.v, chug.v, splutter.v, splash.v, screech.v, rustle.v, clang.v, rumble.v, buzz.v, clank.v, roar.v, putter.v, purr.v, clatter.v, ping.v, click.v, clump.v
Come_into_effect	5	come into effect.v, apply.v, take effect.v, go into effect.v, kick in.v
Notification_of_charges	3	charge.v, indict.v, accuse.v
Attack	16	raid.v, hit.v, lay (into).v, assail.v, charge.v, assault.v, infiltrate.v, jump.v, fall (upon).v, strike.v, bomb.v, ambush.v, attack.v, storm.v, bombard.v, set (upon).v
Reliance	3	depend.v, count.v, rely.v
Getting_up	2	get up.v, rise.v
Reveal_secret	14	spill beans.v, come forward.v, disclose.v, leak.v, let slip.v, fess up.v, expose.v, admit.v, divulge.v, confess.v, reveal.v, let on.v, come clean.v, confide.v
Execution	4	put to death.v, hang.v, execute.v, guillotine.v
Reliance_on_expectation	2	bank (on).v, count (on).v
Cause_to_make_progress	5	perfect.v, advance.v, develop.v, mature.v, improve.v
Building	12	fit together.v, build.v, assemble.v, weld.v, glue.v, make.v, raise.v, erect.v, construct.v, put together.v, fashion.v, piece together.v
Planting	2	sow.v, plant.v
Explaining_the_facts	2	explain.v, account.v
Transfer	1	transfer.v
Finish_game	2	win.v, lose.v
Catastrophe	3	betide.v, suffer.v, befall.v
Cause_to_wake	5	awaken.v, get up.v, rouse.v, wake up.v, wake.v
Surviving	4	live [through].v, survive.v, weather.v, ride out.v
Activity_stop	7	halt.v, stop.v, quit.v, terminate.v, discontinue.v, cease.v, abandon.v
Carry_goods	2	carry.v, stock.v
Education_teaching	11	tutor.v, study.v, coach.v, teach.v, train.v, instruct.v, master.v, school.v, educate.v, learn.v, cram.v
Reparation	1	make up.v
Communicate_categorization	11	define.v, redefine.v, treat.v, cast.v, describe.v, paint.v, represent.v, depict.v, portray.v, make out to be.v, characterize.v
Grooming	19	brush [hair].v, lave.v, comb.v, groom.v, shampoo.v, moisturize.v, brush [teeth].v, manicure.v, cleanse.v, shave.v, bathe.v, pluck.v, wash.v, plait.v, floss.v, file.v, wax.v, soap.v, shower.v
Improvement_or_decline	7	decline.v, look up.v, deteriorate.v, ameliorate.v, shape up.v, worsen.v, improve.v
Cause_change_of_position_on_a_scale	21	decrease.v, move.v, step up.v, lower.v, promote.v, raise.v, add.v, increase.v, enhance.v, knock down.v, crank.v, slash.v, drop.v, double.v, reduce.v, curtail.v, lift.v, diminish.v, swell.v, cut.v, push.v
Growing_food	2	grow.v, raise.v
Familiarity	1	know.v
Meet_with	1	meet with.v
Suasion	6	dissuade.v, persuade.v, incite.v, sway.v, convince.v, motivate.v
Fining	4	fine.v, amerce.v, mulct.v, ticket.v
Eclipse	17	mask.v, enshroud.v, hide.v, cover.v, conceal.v, occlude.v, befog.v, eclipse.v, cloak.v, obstruct.v, blot out.v, becloud.v, shroud.v, screen.v, obscure.v, veil.v, block.v
Rope_manipulation	4	tie.v, tangle.v, braid.v, knot.v
Cause_to_be_dry	8	dry out.v, dry off.v, dehydrate.v, dry up.v, dry.v, anhydrate.v, desiccate.v, dehumidify.v
Affirm_or_deny	7	reaffirm.v, deny.v, confirm.v, affirm.v, concede.v, attest.v, refute.v
Proliferating_in_number	3	dwindle.v, multiply.v, proliferate.v
Residence	12	live.v, camp.v, room.v, squat.v, shack up.v, bivouac.v, stay.v, inhabit.v, occupy.v, lodge.v, dwell.v, reside.v
Ingest_substance	13	do.v, drag.v, use.v, take.v, smoke.v, puff.v, snort.v, have.v, pull.v, pop.v, inject.v, shoot.v, sniff.v
Limiting	1	limit.v
Evaluative_comparison	6	compare.v, stack up.v, equal.v, match.v, measure up.v, rival.v
Lending	2	lend.v, loan.v
Path_shape	35	snake.v, swerve.v, swing.v, traverse.v, reach.v, veer.v, meander.v, weave.v, leave.v, wind.v, emerge.v, zigzag.v, edge.v, undulate.v, drop.v, exit.v, rise.v, descend.v, ascend.v, cross.v, crisscross.v, bend.v, angle.v, dive.v, crest.v, round.v, dip.v, enter.v, pass.v, ford.v, twist.v, run.v, bear.v, slant.v, skirt.v
Estimating	3	guess.v, put (at).v, estimate.v
Cause_to_fragment	25	rip up.v, fragment.v, break.v, rend.v, rip.v, snap.v, splinter.v, shiver.v, smash.v, shatter.v, tear.v, break up.v, dissolve.v, break down.v, tear up.v, shred.v, fracture.v, split.v, sliver.v, rive.v, take apart.v, chip.v, cleave.v, dissect.v, break apart.v
Using	7	apply.v, exercise.v, use.v, avail oneself.v, operate.v, utilise.v, employ.v
Being_in_category	3	amount.v, count.v, constitute.v
Becoming_silent	12	quiet down.v, quiet.v, quieten.v, hush.v, hush up.v, stow it.v, shut up.v, shush.v, pipe down.v, seal (one's) lips.v, button (one's) lip.v, silence.v
Awareness	10	imagine.v, understand.v, suspect.v, believe.v, think.v, conceive.v, presume.v, comprehend.v, reckon.v, know.v
Summarizing	4	boil down.v, sum up.v, outline.v, summarize.v
Protest	2	protest.v, demonstrate.v
Cooking_creation	12	fix.v, whip up.v, make.v, cook.v, grill.v, prepare.v, bake.v, roast.v, put together.v, fry.v, cook up.v, concoct.v
Delivery	1	deliver.v
Imitating	4	imitate.v, ape.v, copy.v, mimic.v
Frugality	4	scrimp.v, husband.v, waste.v, squander.v
Membership	1	belong.v
Change_of_phase	11	liquefy.v, vaporize.v, freeze.v, melt.v, solidify.v, evaporate.v, sublime.v, defrost.v, thaw.v, unfreeze.v, condense.v
Cause_to_resume	4	reinstate.v, resume.v, revive.v, restart.v
Telling	9	assure.v, apprise.v, tell.v, brief.v, inform.v, let know.v, advise.v, confide.v, notify.v
Change_tool	5	transfer.v, change.v, swap.v, trade.v, switch.v
Rejuvenation	11	breathe new life.v, renew.v, revitalize.v, reawaken.v, breathe fresh life.v, reinvigorate.v, resuscitate.v, restore.v, refresh.v, rejuvenate.v, invigorate.v
Encoding	9	formulate.v, put.v, cast.v, phrase.v, misword.v, express.v, couch.v, frame.v, word.v
Importance	1	count.v
Reading_activity	1	read.v
Breathing	14	blow.v, gasp.v, expire.v, inspire.v, insufflate.v, pant.v, breathe.v, respire.v, inhale.v, suspire.v, huff.v, puff.v, sigh.v, exhale.v
Cause_change_of_consistency	12	clot.v, set.v, thicken.v, harden.v, thin.v, inspissate.v, indurate.v, soften.v, congeal.v, curdle.v, coagulate.v, jell.v
Collaboration	7	collude.v, conspire.v, work together.v, partner.v, team up.v, cooperate.v, collaborate.v
Immobilization	5	handcuff.v, straitjacket.v, tie up.v, shackle.v, lock up.v
Duplication	8	reproduce.v, copy.v, run off.v, duplicate.v, clone.v, photocopy.v, reduplicate.v, replicate.v
Suitability	3	become.v, suit.v, fit.v
Dunking	2	dunk.v, dip.v
Abounding_with	4	throng.v, teem.v, crawl.v, swarm.v
Interrupt_process	1	interrupt.v
